,T,A
0.1,301.0219496548122,
0.2,308.08525376627915,
0.215505,,940.7185750750833
0.3,314.98956287278486,
0.4,320.9911058818329,
0.5,325.79195003811907,
0.6,331.0382999432602,
0.7,335.1406580193868,
0.8,339.24374564664976,
0.9,342.2238285536169,
1.0,345.5566912744508,
1.1,349.0421730741948,
1.2,351.40453248645025,
1.3,353.3557255871552,
1.4,355.30778250876426,
1.5,357.15108875465813,
1.6,358.2054996963209,
1.7,359.8352685705395,
1.8,361.41045122103554,
1.9,362.5355409822688,741.4338750091787
2.0,363.70590288306846,
2.1,364.56732644959345,
2.2,365.36060294519797,
2.3,366.10829866354766,
2.4,366.97101887529936,
2.5,366.863608298067,
2.6,368.144080713653,
2.7,367.8034646966241,
2.8,368.62958828726164,
2.9,369.45335547147425,
3.0,369.43936709355654,
3.1,369.745694276567,
3.2,369.7746512199924,
3.3,370.5017961107355,715.8744484213724
3.4,370.7120077594905,
3.5,371.20568556293017,
3.6,370.9355054315035,
3.7,371.01690158035507,
3.8,371.286319486377,
3.9,371.2796994762474,
4.0,371.58040917057,
4.1,371.8424726967182,
4.2,371.9114690173111,
4.3,371.99735321091754,
4.4,372.2870659414939,
4.5,372.07637428587793,
4.6,372.3238440230542,
4.7,371.8672859181593,
4.8,372.57318895529767,
4.9,372.4563136280083,
5.0,372.2920122418691,
