indx,y1,y2,y3,y4
0.08,1.64,8.2158,0.0186,0.0028
1.08,1.4068,7.9826,0.2522,0.0026
2.33,1.0895,7.6584,0.5656,0.0095
3.33,0.8389,7.3861,0.7915,0.0312
4.33,0.6485,7.1231,0.9097,0.1036
5.33,0.4604,6.8643,1.0267,0.1745
12.83,0.1068,6.0636,0.9332,0.6216
23.33,0.0322,5.7212,0.7396,0.8896
27.83,0.0171,5.6208,0.669,0.9751
30.83,0.0298,5.668,0.6916,0.9402
51.67,0.0049,5.5139,0.5877,1.0692
83.33,0.003,5.4859,0.5627,1.0957
93.33,0.0022,5.4796,0.558,1.1012
102.42,0.0022,5.4799,0.5587,1.1007
124.83,0.0026,5.4792,0.5572,1.1018
148.08,0.0012,5.479,0.5602,1.1004
171.83,0.0036,5.4857,0.5617,1.0963
197.33,0.0027,5.4843,0.5617,1.097
228.33,0.0024,5.4862,0.5646,1.0946
270.33,0.0026,5.4858,0.5638,1.0952
293.33,0.0032,5.5069,0.5441,1.0945
