,A,B,C,V
0.0,2.08342343097726,0.0,0.0,1.0
0.00695700998404716,2.0503247259760435,0.0013889367419218318,1.2317051592109446e-06,1.0006957009984045
0.1256323846668943,1.8193107109254127,0.024509221581667708,0.00030556981997958396,1.012563238466689
0.55620798623663,2.044662079942684,0.0999399055351386,0.005442560140194568,1.0556207986236623
1.495467170950512,1.541831451210775,0.22809902499588242,0.032088202171911454,1.1495467170950504
3.1401555038992615,1.21314288086351,0.3760722333555679,0.10188522718296684,1.3140155503899256
5.7789645105702405,1.342635192567774,0.5147876815993244,0.21773229281227957,1.5778964510570233
10.109477178210291,0.8441237819284475,0.6494579829778167,0.35584575948715247,2.010947717821028
15.010179155469434,0.7007083778412966,0.7539786469927601,0.43998171260855273,2.4821267346493014
16.201091735687445,-0.06307782775675025,0.7230193898049737,0.47084615537992963,2.4819016522665245
20.05350076978767,0.2834418104613843,0.6453823749468861,0.548497956065754,2.4819358339066397
30.205667505497278,0.34190052550808947,0.5308109876431271,0.6630635986064541,2.481919028812881
43.38843690141245,0.054755959141584626,0.462586392529325,0.7312910979126125,2.481927671292574
57.81417478470023,-0.36822714840971416,0.4272437467678169,0.7666338938142856,2.481928118732877
