,A,B,C,y
0,0.957,-0.031,-0.015,0.6739130435
0.263,0.557,0.33,0.044,0.8823529412
0.526,0.342,0.512,0.156,0.7664670659
0.789,0.224,0.499,0.31,0.6168108776
1.053,0.123,0.428,0.454,0.485260771
1.316,0.079,0.396,0.556,0.4159663866
1.579,0.035,0.303,0.651,0.3176100629
1.842,0.029,0.287,0.658,0.3037037037
2.105,0.025,0.221,0.75,0.2276004119
2.368,0.017,0.148,0.854,0.1477045908
2.632,-0.002,0.182,0.845,0.1772151899
2.895,0.009,0.116,0.893,0.1149653122
3.158,-0.023,0.079,0.942,0.0773751224
3.421,0.006,0.078,0.899,0.0798362334
3.684,0.016,0.059,0.942,0.0589410589
3.947,0.014,0.036,0.991,0.035053554
4.211,-0.009,0.014,0.988,0.0139720559
4.474,-0.03,0.036,0.941,0.0368474923
4.737,0.004,0.036,0.971,0.0357497517
5,-0.024,0.028,0.985,0.0276406713
